ID,,Motivation,Confidence,Problem Interpretation,Preference,Issues,Q#,,
,,I,,Am,,,3a,"I was trying to create the most economic benefit, and so I maximized the waste in the first period to do this.  However, I made sure to decrease the waste in each subsequent period so I could advertise the plan as one that decreased the amount of waste that goes into the lake over the next 100 years.",
,,I,,Am,,,3b,"I used this strategy because I believe people will benefit more from economic gains even if they don't realize it.  By advertising this as a plan that reduces the amount of waste going into the lake each period, it will not only make the people happy but also create many economic benefits. ",
,,I,,,T,,4a,"I was trying to find a point where the water quality was high so the lake could fight off waste itself but also make sure there were economic benefits.  At the point 0.03, the water quality was so low that the other life in the lake would have died, and I wanted to make sure I preserved the lake.  ",
,,P,,,,,4b,"I used this strategy because my success depended on both the economic benefits and quality of the water. Looking back, I should have maximized the waste output in previous situations because my success was only measured on economic benefits, but my role as environmental planner morally prevented me from doing that. ",
,,I,,,C,,5a,I was trying to create a situation where both the water quality and economic benefits same similar outcomes.  I aimed to choose two numbers that I thought would provide the most benefit for both sides of the situation. ,
,,P,,,,,5b,I used this strategy because my success depended on both water quality and economic benefits. ,
,,I,,,C,,6a,"I was trying to find a spot where both economic benefits and water quality saw similar outcomes. To do this I released increasing amounts of waste into the lake, so the initial water quality was better and economic gains, while still present in the short run, will be greater in the long run.",
,,P,,,,,6b,I used this strategy because my success depended on both the economic benefits and water quality. ,
,,I,S,,C,,7a,"I tried to pick a number where my reliability was high but also where the water quality and economic benefits saw increases as well.  In looking at the examples, I saw that 0.02 did not produce enough economic gains but that 0.05 did not have reliability or water quality at good levels.  For that reason, I chose 0.035, right in the middle of the two.  ",
,,P,,,,,7b,"I used this strategy because my success depended on the water quality, economic benefits, and reliability. ",
,,I,,,C,,8a,"I was trying to ensure that water quality, economic benefits, and reliability were all maximized.  In one of the examples I saw that in period one a waste total of 0.02 worked well, but followed by 0.05 the next year offset that benefit, so I decided to keep the 0.02 in the first period and only increase the waste to 0.025 in the second period to promote economic gains but also to make sure I did not lose touch with water quality and reliability.",
,,P,,,,,8b,"I used this strategy because my success depended on the water quality, economic benefits, and reliability.  I also think increased economic benefits are important, so that is why I allowed the waste total to increase form period 1 to 2",
,,I,,,C,,9a,"I was trying to make sure the reliability was high was also ensuring there were visible economic benefits and maintain good water quality.  I did this by allowing the waste to increase from period 1 to 2 to promote economic benefits, but I also decreased waste from period 2 to 3 to ensure the lake did not get taken over by algae. ",
,,P,,,C,,9b,"I used this strategy because my success depended on all three factors, and I wanted to have a period of economic growth as well as ensure the quality and reliability of the lake. ",
240110,d,I,,,,,1a,"As the planner, I was trying to maximize the amount of A earned. I made sure that the box was filled with as much orange as possible when making my decision.",
,,,S,,,,1b,"In my perspective, the more orange in the box meant more A.",
,,I,,,,,2a,"I was trying to maximize the amount of A, or the amount of orange in the box. I submitted 10 for both periods.",
,,I,S,,,,2b,"The task is to maximize A, so that is what I aimed to do. ",
,,I,,,,,3a,"I was trying to maximize A, so I chose to fill the orange box as much as possible.",
,,I,S,,,,3b,"The task said to maximize A, so I set all periods on level 10.",
,,I,,,C,,4a,"I wanted to maximize the levels of A and B without hurting each factor. I chose 5 because based on examples, it seemed that it would be the closest to a midpoint between the two. ",
,,P,,,,,4b,I wanted to get the most payout for my decision. I thought this would be the most successful decision.,
,,,,,,T,5a,I accidentally submitted this.,
,,,,,,T,5b,"I wanted to place the bars on 3 and 5, but was looking at the sample and just submitted it",
,,I,,,C,,6a,I wanted to maximize A and B without hurting A or B by maximizing one of them. ,
,,I,,,,,6b,I used examples and tweaked it to eyeball where I think the orange dot would fall on the graph.,
,,I,C,,C,,7a,"I am trying to maximize A B and C. In all honesty, I do not understand this graph so I was not sure how to make a decision. I tried to look at an example to get a better idea of where to place the dot. ",
,,,C,,,,7b,Not sure...used intuition.,
,,,C,,,,8a,I do not know,
,,,C,,,,8b,I do not know,
,,,C,,,,9a,I do not know,
,,,C,,,,9b,I do not know,
240111,c,I,S,,,,1a,My strategy was to maximize the A. It said there were no cost so of course I went for the maximum amount of A.,
,,I,S,,,,1b,There was no punishment for sliding the bar to maximum A so therefore I implemented this strategy. ,
,,I,S,,,,2a,My strategy was to maximize A with the sliders by testing out how each sliders affected the level of A. I found out that the one slider fills up 2/3 of the bar while the other filled up the other third. Thus I went for 10s on each one. ,
,,I,,,,,2b,This strategy seemed like the most logical one to test out the slider and again there were no penalties for sliding the bar to the maximum. ,
,,I,S,,,,3a,My strategy was to maximize A again. This time there were three sliders so I tested them all individually. They were all able to increase A with direct correlation to increasing the number. So to maximize A I set the sliders to 10 for each one. ,
,,I,S,,,,3b,I used this strategy because this was the most logical thought processing. There were no penalties again so I would always want to maximize A during the times where there are no penalties. ,
,,I,,,,,4a,"My objective was just trying to maximize the total of A + B. Originally after reading the instructions I thought 5 would be the best number because it will be the average which means satisfies half the people and the other half. After playing around with the scale, I found that 2.7 looked like it had the most area covered on the graph when going from the x and y axis to meet with my fingers. ",
